Leaving Group,Count
Br.C-N-C,799
O.C-O-c1:c:c:c(-P2-S-P(=S)(-c3:c:c:c(-O-C):c:c:3)-S-2):c:c:1,799
Cl.Cl.Cl.Cl-C(-Cl)(-Cl)-O-C=O,796
Cl.C-C,794
O=C-c1:c:c:c:c:c:1,782
O.Br-C(-Br)-Br,780
C-C-O.C-C-O,758
O-S(=O)=O,741
O.O.[O&-].[O&-],738
C-O-C=O,706
O=[N&+]-[O&-],691
C-N-O-C,659
Br.C.C=O,613
O.C-S(=O)=O,607
Cl.C-C=O,605
C-O-C,605
C-C-C-C,603
C.C-O,602
O.c1:c:c:c(-P(-c2:c:c:c:c:c:2)-c2:c:c:c:c:c:2):c:c:1,595
Cl-[#12],593
C-O-S(-O)(=O)=O,592
Cl-C(-Cl)(-Cl)-O.Cl-C(-Cl)(-Cl)-O,588
C-C(-C)(-C)-[#14](-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,573
O.C-C-N(-C-C)-S(-F)-F,568
Cl.O.[O&-],563
Cl-S(=O)=O,563
C.C-C.C-C.O-C=O.[N&-]=[N&+]=N-P(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,559
O.O=C1-C-C-C(=O)-N-1,559
O.C-C.C-C-O,557
O.O-C=O,554
Br.C-N-O-C,549
C(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,543
[#3],522
C-C-O.C-C-O.C-C-O,510
Br.[#29],503
O.C-[#14](-C)-C,495
C.C.N.O,490
O=S(=O)-c1:c:c:c:c:c:1,487
C-C=C,468
Br-[#12].C-N-O-C,465
C-[#14](-C)-C=[N&+]=[N&-],460
O.F-C(-F)(-F)-S(=O)=O,456
O-N1-C(=O)-C-C-C-1=O,449
I.O,447
F.O,445
O.O=[N&+](-[O&-])-c1:c:c:c:c:c:1,443
O.C-C-C,437
Br.I,430
C.O.C-C(-C)(-C)-O,426
C-C-O-C,426
O=C-[O&-],418
I.C-C-C-C-[#50](-C-C-C-C)-C-C-C-C,407
C.Cl.O,399
C-C(-C)(-C)-O-C=O.C-C(-C)(-C)-O-C=O,398
O.C-C=O,398
C-N-C=O,393
C-O-c1:c:c:c(-C):c(-O-C):c:1,386
C.O.C-C(=O)-O-[B&H1&-](-O)-O-C(-C)=O,377
Cl.C-C-C-C-[#50](-C-C-C-C)-C-C-C-C,375
O.C-c1:c:c:c:c:c:1,369
Br.C-C(-C)(-C)-O-C=O,367
C=C,364
Br.C.O,361
N.O-S(=O)=O,357
C.C.O,352
O-c1:c:c:c(-[N&+](=O)-[O&-]):c:c:1,351
O.O.O,351
C-C(-C)-[#14](-C(-C)-C)-C(-C)-C,349
O=C-O-C-C1-c2:c:c:c:c:c:2-c2:c:c:c:c:c:2-1,347
O.C-C(-C)(-C)-O,344
C.N,343
O.Cl-P(-Cl)(-Cl)-Cl,342
Br.C-C-C.C-C-C.C-C(-C)-O,339
C#N,338
Cl.I,336
O.C-O.C-O,334
N.[B&H3&-],332
Br.C-O,331
C-C(-C)-O,331
C-C.C-C-O,331
o,328
Cl.C-C-O,326
C.O.C-O,324
O.C-[B&H3&-],323
O.S=P12-S-P3-S-P(=S)(-S-1)-S-P(=S)(-S-3)-S-2,323
Cl.C-c1:c:c:c:c:c:1,322
c1:c:n:c:n:1,319
Br.C-C-O,315
C-C1(-C)-O-B-O-C-1(-C)-C.F-C(-F)(-F)-S(-O)(=O)=O,315
O.C-O-P(=O)-O-C,313
C-C(-C)-[O&-],308
Br.[#30&+],307
Br.C.O-B-O,307
C.I,306
C-O.C-O.C-O,306
O.C-C(-O)=O,305
Br.C-[#50](-C)-C,304
N.N-[O&-],304
C.C-C,301
C-C=O.C-C=O,299
[#3].C-C-C,299
O.S,293
Br.O.C-C,293
Br.C.C.C-O,289
O.C-C.C-C.C-C,283
Cl-C(-Cl)-Cl,283
O.C-c1:c:c:c(-S(=O)=O):c:c:1,283
[Cl&+]-[O&-],277
Cl.O.O,274
C-C(-C)(-C)-O.O-C=O,274
O-S(=O)-[O&-],271
C-C(-C)(-C)-O,270
O.O=P(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,269
C-[#14](-C)-[N&-]-[#14](-C)(-C)-C,269
[O&-]-[I&+3](-[O&-])-[O&-],268
C.O.C-C-O,268
N.C-C-O,267
C-C(-C)(-C)-C=O,265
Cl-C(-Cl)(-Cl)-C-O,264
C.[O&-],264
C-C-O-C-C,263
C.C-C(-O)=O,262
C.C.C,261
C-C-O.C-C=O,255
C-C-C-O,251
C-[#14](-C)-C(-C)(-C)-C.C-[#14](-C)-C(-C)(-C)-C,248
O=[#25](=O)-[O&-],247
Br.Br.O,243
Br.C-C(-C)-C,243
C-[S&+](-C)=O,241
C.C-C-O,238
C.C-C=O,235
I.I,234
O.O=C-n1:c:c:n:c:1.c:c:n:c,232
Cl.Br-[#12],230
Cl.C-[#14](-C)-C,228
Cl.O.C-C,225
Cl.Cl.Cl.C-O.Cl-C(-Cl)(-Cl)-O,224
Br-C,223
Cl.Cl.O,223
C.[O&-]-[I&+3](-[O&-])-[O&-],221
[O&-].Cl-P(-Cl)=O,219
O=[#34],217
C.C.O.C=O,214
N.N,212
c1:c:c:c:c:c:1,210
C.[O&+]-[O&-],208
Br.O-B(-O)-O,205
Br.C-C=O,205
Cl.O-c1:c:c:c(-[N&+](=O)-[O&-]):c:c:1,202
C-C.C-C-O-C=O,198
C-C-S,197
C.C-C-N-C-C,197
O.C=O,197
Br.O.[O&-],196
O.C-S,195
N#C-c,195
C-C-C-C-O,195
Cl.C-O,194
Br.C-C(-C)(-C)-O-C=O.C-C1(-C)-O-B-O-C-1(-C)-C,193
C-C-N-C-C,192
O.C-C.C-N(-C)-C-C-C-N=C,192
O.Cl-C(-Cl)-Cl,190
O.Br-P(-Br)=O,189
Cl.Cl.Cl,188
C-C(-C)-C.C-C(-C)-C,187
C-C=O.C-C=O.C-C=O,187
Br.O-B(-[O&-])-[O&-],187
C.O-S(=O)(=O)-c(:c:c):c:c,187
Cl.O=C-[O&-],186
N.C-O,184
Cl-C-Cl,184
C.C-C(-C)(-C)-O-C=O,182
Cl.Cl-C(-Cl)(-Cl)-O,181
O.C-Cl,181
C-C.C-C=O,180
C.O.O.[O&-],177
I.C-[#14](-C)-C,176
O.O-n(:n):c1:c:c:c:c:c:1,176
Cl.N,175
Br.C-[#14](-C)-C,175
O.[#3].C-C-C,173
C.C.O.O,171
C-O.C-[#14](-C)-C,171
C-C(-C)-C.C-C(-C)(-C)-O-C=O,171
[#12&+],170
Br.F-[B&-](-F)-F,170
C.O.C-C.C-C,168
[O&-]-C-[O&-],168
C-N,168
O.C-[#14](-C)-C(-C)(-C)-C,168
C.Cl.Cl,167
C.C.N,166
Br.C-C-C,164
O=c:o,164
O.C-C-C-C,163
C-Cl,162
C.C-C-O-C(-O)-O-C-C,162
[N&-],162
C.O.O.O,162
O-P(-O)-[O&-],161
Br.C-C(-C)(-C)-O-C=O.O-B-O,159
C-S(=O)(=O)-[O&-],159
Cl-C(-Cl)(-Cl)-C(=N)-O,157
C-C-C.C-C(-C)(-C)-O-C=O,157
O.O.n:n:c1:c:c:c:c:c:1,156
I.C-C,155
C.C.C-C(-C)-N,155
Cl.O.O.C-C(-C)(-C)-C=O,155
O.C-C.C-C-C.C-C-C,155
O.C-C(-C)-[O&-],155
Br.Br-[#12],155
C.O.[O&-],154
c:c:c:c:c,152
O.C-C(-C)(-C)-O.Cl-C=O,151
N.O.[O&-],150
Cl.C1-C-C-O-C-C-1,150
Cl.Cl-C=O,149
F.O.[O&-],149
Cl.[#30&+],149
Cl.C-C(-C)-C,148
F-C(-F)(-F)-C-O,148
O.O.O.[O&-],146
O.F-C(-F)-F,146
C-O-c1:c:c:c(-C):c:c:1.C-O-c1:c:c:c(-C):c:c:1,145
Br.O.[O&-].[O&-],145
F-[B&-](-F)-F,145
C.C.C-O,144
O.O=C-[O&-],144
C.Cl.C=O,142
C.I.C=O,142
C.c:c:c:c:c,140
F-c1:c(-F):c(-F):c(-O):c(-F):c:1-F,139
O.Br-[#12],138
O.O.C=O,138
O.O=C-O-C-c1:c:c:c:c:c:1,137
O.C-O-c1:c:c:c(-P(=S)-S-P(=S)-c2:c:c:c(-O-C):c:c:2):c:c:1,137
O.O-B-O,136
I.[#29],136
C-N-C.C-C(-C)(-C)-O,135
O.O.Cl-P(-Cl)=O,135
Br.C-C1(-C)-C-O-B-O-C-1,134
Cl.F,134
Cl.C-[#14](-C)-C(-C)(-C)-C,134
C-C-C.C-C-C.C-C(-C)-O,134
C.C.O.C-C,133
C.C.C-C(-C)-[N&-],132
O.C-C.C-C,132
O.C-C(-C)(-C)-O.O-C=O,132
C-N(-C)-C,131
C-C#N,130
C-C=O.C-C=O.C-C=O.C-C=O,130
O=[#25](=O)=O,130
I.C-N-O-C,130
C-C-O-O,129
O.O=c,129
C-C-C-C-[#50](-C-C-C-C)-C-C-C-C,129
[O&-].C-C=O,129
C-S.C-S,128
C.C-C-[#30],128
O.[O&-].C-c1:c:c:c:c:c:1,128
O.c:c:c:c:c,127
Br-N1-C(=O)-N-C(-C)(-C)-C-1=O,127
C-c1:c:c:c:c:c:1.O=C-O-C-c1:c:c:c:c:c:1,127
O-C-c1:c:c:c:c:c:1,126
O.O.O.C-S,126
F.C-C(-C)(-C)-O-C=O,126
Cl.C-C-C,125
C-N-O-C.Cl-[#12],125
C.F,124
C-c1:c:c:c:c:c:1.C-c1:c:c:c:c:c:1.C-c1:c:c:c:c:c:1,124
N-c1:c:c:c:c:c:1,123
O.[#3],123
O.C-C(-C)-C.O-C=O,123
O.O-S(=O)=O,122
C.C.C.O,121
C.O-C=O,121
O.O.[O&-].C-C,121
Br.C-C.C-C-C-C-[#50](-C-C-C-C)-C=C,121
O.C1-C-C-O-C-C-1,121
C-C-[#14](-C)(-C)-C,121
Cl.C=O,120
O.O.O.[O&-].[O&-],120
O.O.C-C-O,119
C-O.C=O,119
O.C-C(-C)(-C)-O.C=O,119
C.C.O.C-[N&+](-C)=C-O-n1:n:n:c2:c:c:c:n:c:2:1,119
Cl.O.O.[O&-],119
O.[N&+]=[N&-],119
N.C-C,118
O.[O&-].C-C-O,118
O.c1:c:c:c(-C(-c2:c:c:c:c:c:2)-c2:c:c:c:c:c:2):c:c:1,117
C-C-C-C-[#50](-C-C-C-C)-C-C-C-C.F-C(-F)(-F)-S(-O)(=O)=O,117
C.C.C-C(-C)(-C)-[#14&H2],116
O.O.C-C.C-C,116
Cl-C(-Cl)-C(-Cl)(-Cl)-Cl,116
N.O.[B&H3&-],115
C.C=O,115
Cl.O.Cl-C=O,115
Br.N#C-[#29],115
Cl.Cl.Cl-C(-Cl)(-Cl)-O-C=O,114
Cl.O-c1:c:c:c:c:c:1,114
C.C-C-C,114
c:c:c,114
N-C(=O)-C-C-C(-N)=O,113
O.[O&-].C-O,112
C-C-[N&+](-C)(-[O&-])-C-C,111
Br.C.C,111
Cl.O.[O&-].[O&-],111
C-O-C.C-O-C,111
C.C.Cl,110
O.C-C-O-C,110
O=S(=O)-c1:c:c:c:c:c:1-[N&+](=O)-[O&-],110
Br.C-C.O-B-O,110
C.[#3],110
C-O-C-C-[#14](-C)(-C)-C.C-C(-C)(-C)-O-C=O,109
Cl.Cl-[#12],109
Br.C-[#14](-C)-C(-C)(-C)-C,107
C-C-N,107
O.O.C-C(-C)(-C)-O-C=O,107
C-O-C-C-O-C,107
Cl.Cl.Cl.Cl-C=O,107
[O&-].[O&-],106
O.[O&-].C-C,106
C.N.O,106
O-S(=O)(=O)-c1:c:c:c:c:c:1,105
Br.C-C.C-C-C-C-[#50](-C-C-C-C)-C-C-C-C,105
O.C-O-C-C-[#14](-C)(-C)-C,105
[n&H1]1:c:c:n:c:1.[n&H1]1:c:c:n:c:1,105
Cl.Cl.Cl.O,104
C-C(-C)(-C)-S=O,104
Br.Br.Br.C-O,104
F.F,104
O.C-C(-Cl)(-Cl)-Cl,103
C-c1:c:c:c(-[N&+](=O)-[O&-]):c:c:1,103
C-C-[#14](-C-C)-C-C,103
C-C(-C)-C.O=C-[O&-],103
O.O.O.C-O-P(=O)-O-C,102
C.c1:c:c:c:c:c:1,102
O-S(=O)(=O)-c1:c:c:c:c(-[N&+](=O)-[O&-]):c:1,102
C-[O&+]-C,102
C-C-O-S(-O)(=O)=O,101
O.Cl-C=O,100
C.O-S(=O)(=O)-c(:c):c,100
Br.O.O,100
Br.C-C-C-C=O,100
O=C-c1:c:c:c(-[N&+](=O)-[O&-]):c:c:1,99
O.O.C-O-c1:c:c:c(-P2-S-P(=S)(-c3:c:c:c(-O-C):c:c:3)-S-2):c:c:1,99
O=S(=O)(-N-S(=O)(=O)-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,99
O.Cl-S(=O)=O,99
C.O.C-C,99
C1-C-O-C-C-N-1,98
C.Cl.C-C-N-C-C,98
I.C-[#50](-C)-C,98
O.[B&H3&-],97
Br.C-c1:c:c:c:c:c:1,97
C.O.C=O,97
C.O.[O&-].[O&-],97
C-O-C(-O)-N(-C)-C,97
Cl.C-O.C-C-O,97
O.C-[#14](-C)-C.C-[#14](-C)-C,96
C-C-[N&-]-C(-C)-C,96
C-[S&+]-C,96
O.C-O-C-C-N(-C-C-O-C)-S(-F)-F,96
C-O-C(-C)=O,95
N-S(=O)=O,94
C.O.C-C(-O)=O,94
Cl.N.C-C.C-C.C-C,94
C.C#N,94
C.Cl.C-C.C-C,93
Cl.O=S(=O)-c1:c:c:c:c:c:1,93
F.F.F.O,93
O.O=C-c1:c:c:c:c:c:1-C=O,92
Br.N,92
C-[n&+]1:c:c:n:c:1,92
[O&-].C-[#14](-C)-C,91
Cl.C-c1:c:c:c(-S(=O)=O):c:c:1,91
Cl.C-N-C,90
c:c:c:c,90
F.C-C,90
I.[#30&+],90
C-[#50](-C)-C,90
I.C-N-C,90
I-[#12],89
I.N,89
Br-N1-C-C-C-C-1=O,89
O.O.O.O,89
Br.C-C(-C)-O,89
O-C-C-O,88
O.O.[#1],87
Cl.[N&+]=[N&-],87
C.C=O.F-C(-F)(-F)-S(-O)(=O)=O,87
C-C-C-C-C,87
C.O.C-C-O-C-C,87
Br.O=C-[O&-],86
O.C#N,86
C-[#14](-C)-C(-C)(-C)-C.C-C(-C)(-C)-O-C=O,86
C-c1:c:c:c:c:c:1.C-c1:c:c:c:c:c:1.C-c1:c:c:c:c:c:1.C-c1:c:c:c:c:c:1,85
C-C(-C)(-C)-O-C=O.F-C(-F)(-F)-S(-O)(=O)=O.O-B-O,85
Cl.Cl.O.[O&-],85
c:c,85
O.C-C(-C)-O,85
O.C-O-c1:c:c:c(-C):c:c:1,85
N.F-[B&-](-F)-F,85
O.C-C(-C)(-C)-O.Cl-c,84
N.C-I,84
C-C(-C)(-C)-[S&*]=O,84
[O&-].[O&-].C-C-O,84
Br.F-C(-F)(-F)-S(-O)(=O)=O,84
O.C-C(-C)(-C)-O-C=O.C-C(-C)(-C)-O-C=O,84
O.C-N-C.Cl-P(-Cl)=O,84
Cl.O=C-O-C-c1:c:c:c:c:c:1,84
Br.Cl-[#12],83
O-S(=O)(=O)-c1:c:c:c(-[N&+](=O)-[O&-]):c:c:1,83
N.C-C.C-C,83
C=C-C-O-C=O,83
O.[O&-].Br-[#12],81
F-C(-F)-F,81
Br.C-C-C-C,81
Br.C-C(-C)-C(-C)-C.C-C1(-C)-O-B-O-C-1(-C)-C,80
O.[O&-].C-C=O,80
N.C-C-C-C,80
O.O.S,80
c,80
C-C-O-C(-N)=O,79
Cl.[#3],78
Br.C(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,78
O.c:c:c(-n1:c:c:c:n:1):c:c,78
O.O.C-O,78
O.F-c1:c:c(-F):c(-F):c(-F):c:1-F,78
N-[N&+](=O)-[O&-],77
C.C.O.C-C-C-N=C=N-C-C,77
Cl-C(-Cl)(-Cl)-C-O-C=O,77
N.C-S,77
Br.C.C-C1(-C)-O-B-O-C-1(-C)-C,77
C-c:c:c:c-C,76
C.O.C-C(-C)(-C)-O-C=O,76
O.[C&-].C-c1:c:c:c(-S(=O)=O):c:c:1,76
O.C-C(-C)-C-C-O,75
Cl.[O&-],75
C.C.Cl.C-C-N-C-C,75
O=c1:c:c:c:c:n:1.O=c1:c:c:c:c:n:1,74
C-[#14](-C)-C.C-[#14](-C)-C,74
C.C-S(-O)(=O)=O,74
[O&-].C-C-O-C(-C)=O,74
O.O=C-O-C-C1-c2:c:c:c:c:c:2-c2:c:c:c:c:c:2-1,74
Br.C-O.C-O,74
O-C-[O&-],74
C.O.C-[N&+](-C)=C-O-n1:n:n:c2:c:c:c:n:c:2:1,74
C.N.O.C-O-C-O-C,73
Cl.O.O-C(=O)-c,73
C.O.O-C-c1:c:c:c:c:c:1,73
C.O-S(=O)(=O)-c(:c):c:c,73
C-O-C(=O)-C(-C)(-C)-C,73
C-C(-C)-N(-C)-C(-C)-C,73
Cl.C-Cl,73
C.O.C-N(-C)-C-C-C-N=C,73
C.C-C-[N&+](-C)(-[O&-])-C-C,72
Br.C.O.[O&-].[O&-],72
Br.C.C.C.O,72
C-C1(-C)-O-B-O-C-1(-C)-C,71
N-C=O,71
C-C-C.C-C-C,71
C-O-C(-O)-O-C,71
Br.Cl.C-O.O-B-O,71
I.O.[O&-],71
O.C-C(-C)(-C)-O-C=O.C1-C-C-O-C-C-1,71
C.C.C.C,70
O.C-C-C-C-[#50](-C-C-C-C)-C-C-C-C,70
I.C-C(-C)(-C)-O-C=O,70
Br.O=S(=O)-c1:c:c:c:c:c:1,70
Cl.C-C-[O&-],70
Br.[O&-],70
Br.C-S,69
C-S-C,69
C-S(-O)(=O)=O.C-S(-O)(=O)=O,69
C-C(-C)-C-C-O,69
[O&-].[O&-].[O&-],69
C-C-C-C-N,69
O=c,69
C=O.Cl-C(-Cl)-Cl,69
Br.C-B1-O-B-O-B(-C)-O-1,68
F.F.F,68
C-O-C-C-O,68
Cl.C-O-c1:c:c:c(-C):c:c:1,68
C-C(-C)-C(-C)-C,68
C1-C-C-O-C-C-1.C1-C-C-O-C-C-1,68
O.O.C-C(-C)-C,68
O.[O&-].C-C(-O)=O,68
F.C-C-O,67
O.O-n(:n):c:c:c:c:c,67
N-N,67
C-O.C-C-O,67
Cl.O.C-C(-C)(-C)-O-C=O,67
C.Cl.Cl.Cl.O.Cl-C(-Cl)(-Cl)-O,67
O-n1:n:n:c2:c:c:c:c:c:2:1,67
N.O.C-C,67
O.F-c1:n:c:n:c(-F):n:1,67
F-C(-F)(-F)-C-O-C(=O)-C(-F)(-F)-F,66
Br.Cl.O.O-B-O,66
C.S,66
O.O.n,66
Br.F,66
N.[#29],66
Br.c1:c:c:c(-C(-c2:c:c:c:c:c:2)-c2:c:c:c:c:c:2):c:c:1,65
C.C.C=O,65
I.C-O,65
O.c:c:c:c,65
C.Cl.Cl.Cl,65
O.C-O-C=O,65
Cl.C-[#50](-C)-C,64
C.O.C-[N&+](-C)=C-O-n1:n:n:c2:c:c:c:c:c:2:1,64
C=C-O,64
C-C-O.C-[#14](-C)(-C)-O,64
Cl.c1:c:c:c(-C(-c2:c:c:c:c:c:2)-c2:c:c:c:c:c:2):c:c:1,64
[#12&+].C-N-O-C,64
O-C(=O)-[O&-],64
C-C-[O&+]-C-C,64
C.C-c1:c:c:c:c:c:1,64
Cl.N.c:c:c:c:c,64
Cl.O-C=O,63
O=C-c1:c:c:c:c:c:1.O=C-c1:c:c:c:c:c:1,63
C-C-O.C=O,63
C.O.O.C-O,63
O-S(-O)(=O)=O,63
O.[O&-].[O&-].C-Cl,63
O=S(=O)-[O&-],63
C.C-O-C=O,63
[N&-].C-c1:c:c:c(-S(=O)=O):c:c:1,62
C.C.[O&-],62
C-C.C-c1:c:c:c(-S(-O)(=O)=O):c:c:1,62
C.C.C-C-N-C(-C)-C,62
N#C-C(=N-O)-c1:c:c:c:c:c:1,62
Br.Br.Cl,62
Cl.Cl.C-C,61
C=O.Cl-c1:c:c:c:c(-C-O-O):c:1,61
[O&-]-[N&+]-[O&-],61
[#3].C-C,61
O.C-C-O-C-C,61
O.O.Cl-S=O,61
O.C-C(-C)(-C)-O.C-C(-C)(-C)-O-C=O,61
C-C.C-C(-C)(-C)-O-C=O,61
C-C(-C)(-C)-C-O,61
C.C-C-O-C=O,61
O.[O&-].[O&-].Br-C,60
O.O.C-c1:c:c:c:c:c:1,60
O.C-C-O-C=O,60
Br.C-[#14](-C)-C.C-[#14](-C)-C,60
C-C(-C)(-O)-O-C=O,60
O=C-C-c1:c:c:c:c:c:1,60
O.O.S=P12-S-P3-S-P(=S)(-S-1)-S-P(=S)(-S-3)-S-2,60
O.O.c:c:c:c:c:n:n,60
Cl.Cl.O.O,60
C-C(-Cl)(-Cl)-Cl,60
C-C.C#N,59
C-N-C.F-C(-F)(-F)-S(-O)(=O)=O,59
C.O.C-C-C.C-C-C,59
Cl.F-C(-F)(-F)-C=O,59
Cl.F-[B&-](-F)-F,59
Cl-C-C=O,59
C-C.C-C.C-C.C-C,59
Cl.C-C-C-C,59
Br.C-C(-O)=O,59
Br.C-C(-C)(-C)-O-C=O.C-C(-C)(-C)-O-C=O.O-B-O,58
C.N.O.O.[B&H3&-],58
O.O.C-S,58
F.F.F.O-C=O,58
O=c1:[n&H1]:c(=O):n:c:c:1,58
O.C-C.C-O,58
C.C-C.C-C,58
Cl.Cl.C-Cl,58
Cl.C-C-O-C=O,58
N-C-N,58
C.O.c:c:c:c:c,58
O.C-C-O.C-C-O,57
C-C-O.C-C(-C)(-C)-O-C=O,57
C1-C-C-N-C-C-1,57
C-[N&+](-C)-C,57
C-C.C-C.C-C.O-C=O,57
Cl.C-C(-O)=O,57
O.C-O-C,57
O.C-C.C-c1:c:c:c(-S(=O)=O):c:c:1,57
O.Cl-[#12],57
O.O=P(-O-c1:c:c:c:c:c:1)-O-c1:c:c:c:c:c:1,57
C.O.O.C-C(-C)(-C)-O,57
Cl.C(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,57
C-[#14](-C)-Cl,57
Br.C.C-C,57
O.Br-S=O,56
S.C-C-O,56
O.c,56
[#3].C-N-O-C,56
C-[C&*&H1]-c1:c:c:c:c:c:1,56
C-[#14](-C)-C.C-C(-C)(-C)-O-C=O,56
C.Cl.c:c:c:c:n,56
O=[#24](-[O&-])-O-[#24](=O)(=O)-[O&-],56
Br.C-C.C-C-C-C-C(-C-C-C-C)=C-[#50],56
Br-c1:c:c:c(-S(-O)(=O)=O):c:c:1,56
Cl.N-C-N,55
S-c1:c:c:c:c:c:1,55
O.c1:c:c:c2:n:n:n:c:2:c:1,55
C-C-C#N,54
C-C-[O&-],54
N.O.O,54
C.C.O-C=O,54
O-B(-O)-O,54
O-P(=O)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,54
C.O.C-S,54
C.O.C-N(-C)-C-C-C-N,53
C-C(-C)-[N&-],53
Br.N.C-C.C-C,53
C.c:c:c:c,53
Br.C-C-B-C-C,53
O.n:n:c1:c:c:c:c:c:1,53
O.C-C=O.C-C=O.C-C=O.C-C=O,53
O-C=O.O=P(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1.[N&+]=[N&-],53
O.c:c,53
O.O.c:c:n.c1:c:n:c:n:1,53
O=C1-N-[C&*&H1](-C-c2:c:c:c:c:c:2)-C-O-1,53
Cl.I.O-B-O,52
[O&-].O=[N&+]-[O&-],52
I.O.[O&-].[O&-],52
C-C(-C)(-C)-O.Cl-C=O,52
O.O.C-C(-C)(-C)-O,52
O.Cl-C(-Cl)-Cl.Cl-C(-Cl)(-Cl)-O,52
O.C-C=C,52
O.C-C.C-C-C,51
C-N(-C)-C=O,51
Cl.O=C-c1:c:c:c:c:c:1,51
F-C(-F)(-F)-S(=O)=O,51
O.O-n:n.c:c:c,51
Br.O.C-C(-C)(-C)-O-C=O,51
Br-C-C,51
C.C-[#14](-C)-C,51
Cl.C-[#14](-C)-C.C-[#14](-C)-C,51
Cl.[#29],51
C.C-C(-C)-C,51
O.O.c:c:n:c.c1:c:n:c:n:1,50
C-C-S(=O)=O,50
Br.Cl.O-B-O,50
C.C.C-C.C-C-C.O-C=O.[N&-]=[N&+]=N-P(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,50
Cl-C=O,50
c1:c:c:c2:n:n:n:c:2:c:1,50
N.C-C-O-C-C,50
C.C-C-C-C,50
C.C.O.[O&-],50
Br.B1-O-C-C-C-O-1,50
C-N-c1:c:c:c:c:c:1,50
